"","2.5%","50%","97.5%","sample_size"
"16",4.75682526365984e-07,1.11101195228344e-05,0.000317629113088742,7463
"17",1.35598553899853e-07,4.65036242885332e-06,0.000194337773911986,6783
"18",3.65517518386763e-08,1.83400234375729e-06,0.000114931702924472,5599
"19",8.7659998060874e-09,6.9055420747672e-07,7.12984100792144e-05,3721
"20",1.98083750443213e-09,2.4570409856514e-07,4.4007660374422e-05,2647
"21",3.97195389637707e-10,8.35346996271383e-08,2.65446649662928e-05,1764
"22",7.34409522666957e-11,2.72574924529952e-08,1.56468639786078e-05,1252
"23",1.25734228246061e-11,8.12307491846238e-09,8.99543032575152e-06,889
"24",1.99319584248362e-12,2.37774443731198e-09,4.86964667973393e-06,559
"25",2.92568640337568e-13,6.49706641838172e-10,2.49895740225323e-06,473
"26",4.00558407025649e-14,1.67070793344786e-10,1.24991731496491e-06,332
"27",5.14237987237934e-15,4.25525378633543e-11,6.66811331571554e-07,221
"28",6.56006668406938e-16,1.03468709503431e-11,3.49306460484743e-07,169
"29",7.77603332046354e-17,2.34640549638853e-12,1.62269180486867e-07,105
"30",8.56476563914411e-18,5.04268689314232e-13,7.32455079196659e-08,77
"31",8.76559970861466e-19,1.03215528046884e-13,3.22201389765563e-08,56
"32",8.33751982632601e-20,1.99644446510394e-14,1.38126066393444e-08,29
"33",7.08270205802986e-21,3.56184270174464e-15,6.07823427004938e-09,35
"34",5.29033817530961e-22,6.15477258055459e-16,2.61903608666828e-09,15
"35",3.66093021928447e-23,1.00049356201682e-16,1.09409073442655e-09,8
"36",2.34707012662664e-24,1.53597747072467e-17,4.3149012457239e-10,9
"37",1.39408948353487e-25,2.23941384024816e-18,1.65940578789515e-10,8
"38",7.6716529001761e-27,3.10250679097917e-19,6.2230210070774e-11,3
"39",3.91133573288435e-28,4.15104932810301e-20,2.27572516911191e-11,4
"40",1.8475819304076e-29,5.39239541988302e-21,8.11542857175695e-12,0
"41",8.25054142238732e-31,6.61749425374731e-22,2.82138897770864e-12,4
"42",3.55855219357239e-32,7.57940180517168e-23,9.55941558933668e-13,3
"43",1.42417931602478e-33,8.34242965741021e-24,3.1582540103767e-13,1
"44",5.28879526589785e-35,8.61079940025896e-25,1.01740586669076e-13,2
"45",1.82242534385483e-36,8.44152662751352e-26,3.19324420135594e-14,1
"46",5.82698197513034e-38,7.86121783304278e-27,1.00042715881444e-14,0
"47",1.73020314102934e-39,6.95424714683347e-28,3.09393618463382e-15,0
"48",4.76809313038662e-41,5.84388971771482e-29,9.33704607503801e-16,1
"49",1.21917422888292e-42,4.66493560334661e-30,2.74966853612043e-16,0
"50",2.89241262452439e-44,3.53737579780915e-31,7.90176790815582e-17,0
"51",6.36690210104718e-46,2.55356877203712e-32,2.21585653527893e-17,0
"52",1.30037785205846e-47,1.74275207943866e-33,6.06363126730374e-18,0
"53",2.46424817341381e-49,1.12701650793823e-34,1.61919072033046e-18,0
"54",4.33284176743931e-51,6.7527775862783e-36,4.21927253406986e-19,0
"55",7.06862171908546e-53,3.90618698222731e-37,1.05971871756547e-19,0
"56",1.06996654182411e-54,2.15506481575005e-38,2.52888510356612e-20,0
"57",1.50272398464535e-56,1.12939332118477e-39,5.8852215725971e-21,0
"58",1.95822153497239e-58,5.64235990590614e-41,1.33565262550129e-21,0
"59",2.36765286850889e-60,2.69667139005355e-42,2.95612703632421e-22,0
"60",2.65612101165034e-62,1.22429690323033e-43,6.38048293551913e-23,0
"61",2.76472109764136e-64,5.28003985898338e-45,1.34303416913354e-23,0
"62",2.67010571173425e-66,2.14158011643267e-46,2.75693132536708e-24,0
"63",2.39265049444714e-68,8.21120089476423e-48,5.51915640778272e-25,0
"64",1.98931597286278e-70,2.99030275740613e-49,1.07753155499746e-25,0
"65",1.53462402297521e-72,1.03433783456614e-50,2.05163785519823e-26,0
"66",1.09843395764779e-74,3.40587747633681e-52,3.84096238282584e-27,0
"67",7.29490537373143e-77,1.0785070364617e-53,7.22142177307489e-28,0
"68",4.49509782849338e-79,3.24418654316598e-55,1.32469802779168e-28,0
"69",2.56999586300141e-81,9.26995775919209e-57,2.37095149000949e-29,0
"70",1.36332535011048e-83,2.51616446076573e-58,4.14037928931954e-30,0
"71",6.71027662608659e-86,6.48768655049111e-60,7.05455055565799e-31,0
"72",3.03728294295595e-88,1.58902415035474e-61,1.17276344703191e-31,0
"73",1.25616709922986e-90,3.69709985736869e-63,1.90223176034074e-32,0
"74",4.81889693594198e-93,8.1711306020092e-65,3.01042950394263e-33,0
"75",1.71469145506e-95,1.71551159633875e-66,4.64842269688585e-34,0
"76",5.65929738007218e-98,3.42133774798909e-68,7.00317497784575e-35,0
"77",1.73251618231126e-100,6.48170524813936e-70,1.02942960216681e-35,0
"78",4.91960693374929e-103,1.16647087779991e-71,1.47642278339897e-36,0
"79",1.29575204167005e-105,1.99411443135558e-73,2.06489838656334e-37,0
"80",3.1655695784009e-108,3.23830736426297e-75,2.81744752230808e-38,0
"81",7.17332266170341e-111,4.99549051448075e-77,3.75077173059856e-39,0
"82",1.50774357959953e-113,7.32032828988426e-79,4.87184072277824e-40,0
"83",2.93949895105265e-116,1.0190033139126e-80,6.17409315977014e-41,0
"84",5.31566881823407e-119,1.34745269544127e-82,7.63415416333015e-42,0
"85",8.9162326467264e-122,1.69256216239224e-84,9.20992990972202e-43,0
"86",1.38721516791506e-124,2.01961774036231e-86,1.08407511945001e-43,0
"87",2.00191354999559e-127,2.2892196048117e-88,1.24500209626357e-44,0
"88",2.67969865889835e-130,2.4708087035473e-90,1.3950457259933e-45,0
"89",3.32709994836032e-133,2.53503739054628e-92,1.52515667110233e-46,0
"90",3.8316434374557e-136,2.47077248920854e-94,1.62685232028396e-47,0
"91",4.09301924510215e-139,2.28762218377356e-96,1.6931267097459e-48,0
"92",4.05547803736953e-142,2.01205111829645e-98,1.71924768920961e-49,0
"93",3.72717687969384e-145,1.68111298849587e-100,1.70331549457437e-50,0
"94",3.17729656822689e-148,1.33431384851699e-102,1.64649116740447e-51,0
"95",2.51232272489584e-151,1.00605632109575e-104,1.55285668073347e-52,0
