"","2.5%","50%","97.5%","sample_size"
"15",2.55268613729685e-05,0.00078970942793464,0.0337497648858716,1
"16",2.25332546138247e-05,0.000708946924171945,0.029866665788631,3
"17",1.97299824757006e-05,0.000627888536710946,0.0262265241982889,14
"18",1.74569478081581e-05,0.000555972494054418,0.0232697325376738,73
"19",1.54833963945041e-05,0.000484127777577033,0.0204989533433891,95
"20",1.36434712161334e-05,0.000422300025349268,0.0179337726082323,237
"21",1.19438824517595e-05,0.00036692837279827,0.0154816643309313,302
"22",1.00144859944806e-05,0.000314500027282163,0.0133457652520526,479
"23",8.29616676104989e-06,0.000268001522037215,0.0114844254531991,527
"24",6.8150751922297e-06,0.000224711395128015,0.00980582652166917,742
"25",5.55149332743389e-06,0.000186561315091558,0.00798032415117878,1038
"26",4.59158221098292e-06,0.000153657870068957,0.00649310267286386,1042
"27",3.81550454239438e-06,0.000126757129573101,0.00540793528982195,1055
"28",3.14166538220918e-06,0.000104463613146307,0.00447296179629726,1448
"29",2.5792200735857e-06,8.35871281521063e-05,0.003626430262196,1201
"30",2.10481259015232e-06,6.78536873059095e-05,0.00287775233152234,2178
"31",1.70578954315174e-06,5.49652506326341e-05,0.00226453209673325,1495
"32",1.37285437323496e-06,4.32489246584874e-05,0.00176716698868837,1909
"33",1.09726248573063e-06,3.41931816086021e-05,0.00136813522653818,1456
"34",8.64010171362062e-07,2.66818977691215e-05,0.00105083084282906,1556
"35",6.66799637816041e-07,2.06312975607783e-05,0.000800735299590277,2558
"36",5.15373478990415e-07,1.60882861572135e-05,0.000605480118242843,1828
"37",3.94454786198566e-07,1.2198528707817e-05,0.000462516060953633,1567
"38",2.95344433449408e-07,9.22018098426412e-06,0.000349265664119221,2035
"39",2.18935541239911e-07,6.99464706191242e-06,0.000269389921551694,1588
"40",1.59598898610283e-07,5.20571386692811e-06,0.000206603038707217,2212
"41",1.14874930001572e-07,3.83396744398144e-06,0.00015717594248117,1485
"42",8.58382011415126e-08,2.83882851541886e-06,0.000117102968705867,1559
"43",6.25917028941543e-08,2.06533756878448e-06,8.62614658022068e-05,1162
"44",4.33125921201923e-08,1.50453082274327e-06,6.10499297797841e-05,1148
"45",2.93207780022414e-08,1.06453367053594e-06,4.41658304174569e-05,1822
"46",2.12869600605773e-08,7.62387156791515e-07,3.24761451674581e-05,1375
"47",1.52883328377088e-08,5.44819584144812e-07,2.36938471880069e-05,1368
"48",1.03496529584197e-08,3.82922188487796e-07,1.66823741461553e-05,1620
"49",7.00472284942998e-09,2.63158555171945e-07,1.14309535156371e-05,1137
"50",4.76343293107103e-09,1.82088211181683e-07,8.29865614905158e-06,1429
"51",3.17513954204051e-09,1.25843622104285e-07,6.04672443299816e-06,1029
"52",2.10016266523406e-09,8.63103545817111e-08,4.44858906189936e-06,978
"53",1.3733286460328e-09,5.93092702291059e-08,3.13978721695761e-06,819
"54",8.83092926690937e-10,4.01799934786502e-08,2.1768361969238e-06,715
"55",5.73276834188156e-10,2.69264524252677e-08,1.50707036766204e-06,1051
"56",3.57869336091147e-10,1.77806179066276e-08,1.03519476573438e-06,801
"57",2.22587474594168e-10,1.17568556509393e-08,7.06264856276278e-07,553
"58",1.38246762090566e-10,7.585771686957e-09,4.73198927103107e-07,532
"59",8.51527652393898e-11,4.93338166089176e-09,3.11490080819702e-07,343
"60",5.20154254359361e-11,3.23644911320814e-09,2.08906333014202e-07,544
"61",3.15185840010896e-11,2.05529627037753e-09,1.42676203460977e-07,246
"62",1.89605521665058e-11,1.29847422090045e-09,9.46102641789205e-08,199
