"","2.5%","50%","97.5%","sample_size"
"15",3.62360488450065e-08,1.21934488770543e-06,4.79123420585676e-05,183
"16",4.08343821579897e-08,1.36928485911297e-06,5.36710735506873e-05,356
"17",4.57507859159342e-08,1.53196528869379e-06,5.9902950758259e-05,450
"18",5.11213517023094e-08,1.7080798894497e-06,6.6614872013027e-05,1359
"19",5.69054388903615e-08,1.89640094978878e-06,7.38089836325896e-05,1483
"20",6.31034206957248e-08,2.09817306218212e-06,8.18035813630424e-05,1580
"21",6.97107411232745e-08,2.31285125684933e-06,9.03352269663057e-05,1509
"22",7.67174516319773e-08,2.54004766752389e-06,9.93780106628576e-05,1669
"23",8.41078059798559e-08,2.7792254444237e-06,0.000108911010377617,1707
"24",9.18599290132667e-08,3.02965666772527e-06,0.000118905405500756,1745
"25",9.99455747197527e-08,3.29041565584052e-06,0.000129324178015609,1838
"26",1.0832998788752e-07,3.5603754828757e-06,0.000140121948139923,1955
"27",1.169718821898e-07,3.83820807467644e-06,0.000151244960704366,1753
"28",1.25823545441767e-07,4.1242540182462e-06,0.000162631235773649,1858
"29",1.34831080185825e-07,4.41779720859717e-06,0.000174210893633162,1762
"30",1.4393478469528e-07,4.71413972321218e-06,0.000185906660280925,2205
"31",1.53069676016472e-07,5.00267726244996e-06,0.000197634555073058,2015
"32",1.62166152886804e-07,5.28738430768253e-06,0.000209304757290438,1900
"33",1.71150792381081e-07,5.56756341116799e-06,0.000220822643268287,1848
"34",1.79947270077549e-07,5.8408408089957e-06,0.000232089980522606,1803
"35",1.88477389535636e-07,6.10662176903159e-06,0.000243006260195234,1799
"36",1.96662203083785e-07,6.36763140675548e-06,0.000253470144307865,2045
"37",2.04423202472341e-07,6.61477820799538e-06,0.000263380999949573,1630
"38",2.1168355499237e-07,6.84562397951982e-06,0.000272640488799404,1777
"39",2.18369358323442e-07,7.05717081744123e-06,0.000281154177466493,1480
"40",2.24410885761204e-07,7.24118326496075e-06,0.000288833132152666,1433
"41",2.29743792674988e-07,7.40251832758128e-06,0.000295595460213751,1405
"42",2.34310255114729e-07,7.5394642423444e-06,0.000301367761386938,1293
"43",2.38060012451956e-07,7.65054760871879e-06,0.000306086452792815,1172
"44",2.40951287794579e-07,7.73455976746992e-06,0.000309698934299576,1084
"45",2.42611983975809e-07,7.79057868925314e-06,0.000312164564396557,1021
"46",2.43286578846799e-07,7.82122881940928e-06,0.000313455421265508,1190
"47",2.43027372393574e-07,7.82333349692933e-06,0.0003135568291222,1135
"48",2.41837350756042e-07,7.79658986583534e-06,0.000312467635955056,1153
"49",2.39730181847764e-07,7.74129341696031e-06,0.000310200235311255,736
