"","2.5%","50%","97.5%","sample_size"
"5",1.12054047340778e-07,3.79878002725085e-06,0.000154952447448306,0
"6",1.03611085691121e-07,3.54950648138979e-06,0.00014560047998373,0
"7",9.65662594930442e-08,3.30246682525495e-06,0.000137420846395693,0
"8",8.90037130070045e-08,3.06267634807604e-06,0.00012970075767229,0
"9",8.17998295978324e-08,2.84281778885804e-06,0.000122414394421502,0
"10",7.51790288850341e-08,2.65125355625535e-06,0.000115537387989937,0
"11",6.87983973646498e-08,2.4730064767961e-06,0.000109046738943899,0
"12",6.28675796152799e-08,2.28809313640219e-06,0.000102920740131398,0
"13",5.75772141399985e-08,2.12971888065967e-06,9.71069360530759e-05,0
"14",5.30058570682798e-08,1.97127490278713e-06,9.02884311706026e-05,0
"15",4.87975159245687e-08,1.82793838414887e-06,8.39491929196247e-05,0
"16",4.49268299671166e-08,1.7061173574161e-06,7.8054880477379e-05,0
"17",4.13652814237826e-08,1.57815753565906e-06,7.32178856398788e-05,0
"18",3.80860785999227e-08,1.45670343031278e-06,6.89633412584291e-05,0
"19",3.50668377346571e-08,1.35139367622451e-06,6.49408974921057e-05,0
"20",3.22869496434448e-08,1.25053635837803e-06,6.11533983429349e-05,0
"21",2.96829556392579e-08,1.15830364656405e-06,5.75870978296086e-05,0
"22",2.72787295514256e-08,1.07323683074022e-06,5.36364786425078e-05,0
"23",2.5069238472587e-08,9.92597097001474e-07,5.06077056175993e-05,0
"24",2.30387094378718e-08,9.13342277034881e-07,4.77499660900887e-05,0
"25",2.11726470480195e-08,8.45439543455981e-07,4.50536016906683e-05,0
"26",1.94577299900346e-08,7.85774354799035e-07,4.254151099104e-05,0
"27",1.78817159393993e-08,7.2669955877417e-07,4.02438276126468e-05,0
"28",1.64333541649579e-08,6.69461965482334e-07,3.7915516480576e-05,0
"29",1.51023052125765e-08,6.20602497053592e-07,3.57071830964677e-05,0
"30",1.38790670942143e-08,5.76267780682129e-07,3.36445335658232e-05,0
"31",1.27549074554844e-08,5.36451841628787e-07,3.16954210388376e-05,0
"32",1.17220609270929e-08,4.9484215910342e-07,2.98592274588239e-05,0
"33",1.07735296279753e-08,4.59348520203901e-07,2.81294109236614e-05,0
"34",9.9017539731344e-09,4.24243851147943e-07,2.64998085392448e-05,0
"35",9.10052270416682e-09,3.91204447848488e-07,2.49646144611345e-05,0
"36",8.36412720511586e-09,3.62672262652655e-07,2.3518359208414e-05,0
"37",7.68786187745085e-09,3.38945018796999e-07,2.21558901760449e-05,0
"38",7.06636158363183e-09,3.13126419261434e-07,2.08723532762802e-05,0
"39",6.49511052601296e-09,2.89332261050776e-07,1.96631756437227e-05,0
"40",5.97004552150199e-09,2.68347439398364e-07,1.85194137052918e-05,0
"41",5.49795801932183e-09,2.48813636345065e-07,1.73638206567874e-05,0
"42",5.10381902513679e-09,2.29981077044252e-07,1.61584718506635e-05,0
"43",4.73914158417288e-09,2.12578888743558e-07,1.50869092665324e-05,0
"44",4.40052289509585e-09,1.96728046134721e-07,1.4227569110252e-05,0
"45",4.02090803978579e-09,1.82884363921013e-07,1.32622277384577e-05,0
"46",3.71703813984244e-09,1.70190339240286e-07,1.23338948470971e-05,0
"47",3.436150393895e-09,1.58308297230912e-07,1.14702077845314e-05,0
"48",3.17689991776876e-09,1.4693794852262e-07,1.06670012901115e-05,0
