"","2.5%","50%","97.5%","sample_size"
"16",4.24729254817248e-07,1.11299934313278e-05,0.000297469102958215,7463
"17",1.29114347213082e-07,4.63076703769458e-06,0.000183792513222608,6783
"18",3.33890460238523e-08,1.84166970004663e-06,0.000114431900472013,5599
"19",8.08699529126827e-09,6.83794268391359e-07,7.01227410724391e-05,3721
"20",1.86450856995124e-09,2.34164953364662e-07,4.19293416456758e-05,2647
"21",4.00770074321607e-10,7.77237790526172e-08,2.46621357261236e-05,1764
"22",7.92571951921829e-11,2.49908228375288e-08,1.39465375715401e-05,1252
"23",1.44615558753899e-11,7.76332023648362e-09,7.72959178688647e-06,889
"24",2.45085296479578e-12,2.30553014919928e-09,3.93968645749227e-06,559
"25",3.85720451835229e-13,6.59943094534392e-10,1.95428042661802e-06,473
"26",5.63743139464112e-14,1.72972113474815e-10,1.04025707007924e-06,332
"27",7.21871648496715e-15,4.22012731586178e-11,5.4692127403817e-07,221
"28",9.01577724507439e-16,9.93957322012369e-12,2.75724788862364e-07,169
"29",1.06070266458338e-16,2.21304972512031e-12,1.29236844576461e-07,105
"30",1.15668740180544e-17,4.66982087150912e-13,5.97400412640927e-08,77
"31",1.17163362929117e-18,9.08200698235537e-14,2.67989559152668e-08,56
"32",1.09373500676347e-19,1.72049466285557e-14,1.17151532077844e-08,29
"33",9.03570232027862e-21,3.14761029985296e-15,4.99403539090972e-09,35
"34",6.92083625374476e-22,5.36992200018329e-16,2.07600932125862e-09,15
"35",4.9184554035606e-23,8.6880750979548e-17,8.62188450157646e-10,8
"36",3.24305620995918e-24,1.35090456931727e-17,3.5715157321098e-10,9
"37",1.98270951099432e-25,2.04785187021144e-18,1.4437413534676e-10,8
"38",1.1239457305936e-26,2.853504496735e-19,5.69867631095561e-11,3
"39",5.90767058536057e-28,3.78096377206024e-20,2.09334570462116e-11,4
"40",2.87922245172922e-29,4.852431139423e-21,7.46261115557638e-12,0
"41",1.31770128093938e-30,5.93996065792471e-22,2.60052076422049e-12,4
"42",5.82620995769898e-32,6.85431898733092e-23,9.24994488886768e-13,3
"43",2.39177470720316e-33,7.34969058125956e-24,3.2120113987136e-13,1
"44",9.11632723712896e-35,7.56169309918911e-25,1.08886598127957e-13,2
"45",3.22615673142175e-36,7.39142272448281e-26,3.60355787392264e-14,1
"46",1.06002780074632e-37,6.86441508881631e-27,1.16425627557994e-14,0
"47",3.23381749337951e-39,6.09749593449043e-28,3.63060926121712e-15,0
"48",9.15968083471043e-41,5.18082258318735e-29,1.09156370705921e-15,1
"49",2.40886132575567e-42,4.14783604217306e-30,3.20222906631932e-16,0
"50",5.88179433589461e-44,3.09552647596968e-31,9.15354451050095e-17,0
"51",1.3334425980192e-45,2.19901067090253e-32,2.53439407801868e-17,0
"52",2.79343795914408e-47,1.54048043378606e-33,6.60501779082483e-18,0
"53",5.27221758911407e-49,1.01786370098317e-34,1.67825409463054e-18,0
"54",9.2322226608754e-51,6.25475528854986e-36,4.1574562900138e-19,0
"55",1.49995424495352e-52,3.65132943320431e-37,1.0041220116669e-19,0
"56",2.26104228589474e-54,2.02800297884663e-38,2.36448669970656e-20,0
"57",3.16226610046037e-56,1.08007410686388e-39,5.42852513740167e-21,0
"58",4.10343261024771e-58,5.46472387074977e-41,1.21513536688549e-21,0
"59",4.9403243420422e-60,2.62671393662715e-42,2.65197120218257e-22,0
"60",5.51852442189079e-62,1.19946453985518e-43,5.64310420605033e-23,0
"61",5.71939248340857e-64,5.18410007855856e-45,1.17078340867442e-23,0
"62",5.49966605768751e-66,2.11271663085488e-46,2.36836539080005e-24,0
"63",4.90661835636137e-68,8.17863895004072e-48,4.67131665470414e-25,0
"64",4.06151274202622e-70,2.97943440365964e-49,8.98366514183746e-26,0
"65",3.11927003190567e-72,1.02206247132728e-50,1.68460104631106e-26,0
"66",2.2229854780001e-74,3.33161121949429e-52,3.08017872212226e-27,0
"67",1.46992482835672e-76,1.02342357549891e-53,5.49157199482093e-28,0
"68",9.01798291583662e-79,2.97956890997467e-55,9.54699014860169e-29,0
"69",5.13309739172908e-81,8.19276102246314e-57,1.61842652725434e-29,0
"70",2.71084972757959e-83,2.1390149000691e-58,2.67537424802455e-30,0
"71",1.32827272552217e-85,5.30282257625495e-60,4.33214405658739e-31,0
"72",6.03844292775062e-88,1.25960581118094e-61,7.05250206134782e-32,0
"73",2.54693934804496e-90,2.85300005253599e-63,1.11991229301802e-32,0
"74",9.96708567775626e-93,6.13608347662149e-65,1.7347079205126e-33,0
"75",3.61887644637573e-95,1.25315027997933e-66,2.62102655142164e-34,0
"76",1.21908873848502e-97,2.43017489815806e-68,3.86296158235077e-35,0
"77",3.8102450197337e-100,4.48701141955039e-70,5.55359902444539e-36,0
"78",1.10490905039092e-102,7.91055500355994e-72,7.78816458836754e-37,0
"79",2.9727351599709e-105,1.32458628012351e-73,1.06537758798931e-37,0
"80",7.42065070234248e-108,2.10658699228635e-75,1.42161255600074e-38,0
"81",1.71863581301568e-110,3.18204815828109e-77,1.85041734023873e-39,0
"82",3.6930215368133e-113,4.56525123480302e-79,2.34947281272208e-40,0
"83",7.36268047987375e-116,6.22093415350679e-81,2.90994694830651e-41,0
"84",1.3619031104322e-118,8.05159529191701e-83,3.51572841969835e-42,0
"85",2.33729014453991e-121,9.89796976224832e-85,4.14345788615056e-43,0
"86",3.72164731159562e-124,1.15571465185849e-86,4.76353911276196e-44,0
"87",5.49811705395392e-127,1.2817339823227e-88,5.34216937578912e-45,0
"88",7.53613970286874e-130,1.35017619111024e-90,5.84424856319645e-46,0
"89",9.58385203961329e-133,1.3563488635436e-92,6.23684415594676e-47,0
"90",1.13080434452039e-135,1.30286635803579e-94,6.49274673083624e-48,0
"91",1.23791564640474e-138,1.18867074945084e-96,6.59358559614094e-49,0
