"","2.5%","50%","97.5%","sample_size"
"15",2.70339765973587e-05,0.000775151898281322,0.0332085938658002,1
"16",2.38739560083856e-05,0.000693463033968464,0.0292764000078639,3
"17",2.10424453135002e-05,0.000615778385875431,0.0260799848979962,14
"18",1.87143034982497e-05,0.000540456010576191,0.0229323413022717,73
"19",1.6531448290178e-05,0.00047205493943183,0.0197075353331264,95
"20",1.45135541067864e-05,0.000410789368291233,0.0167939112193996,237
"21",1.26579575026568e-05,0.000356900721648429,0.0144469474649414,302
"22",1.09180756320919e-05,0.000308005505393529,0.0124342472494689,479
"23",9.1623645047308e-06,0.000262441434658038,0.0106259841572009,527
"24",7.62482270306647e-06,0.000222549664151298,0.0088501851776843,742
"25",6.29123562697998e-06,0.000185773597019899,0.00739705193540969,1038
"26",5.25693584415865e-06,0.000153809850523545,0.00598378811477069,1042
"27",4.33694694212146e-06,0.000127676734604981,0.00480189818379208,1055
"28",3.51213722878123e-06,0.000103076244324504,0.00399919956318344,1448
"29",2.82229963081113e-06,8.21004156226799e-05,0.00330784826525384,1201
"30",2.24079858582169e-06,6.55545917721899e-05,0.00268646419221416,2178
"31",1.7640582794527e-06,5.21644047838948e-05,0.0021342058216138,1495
"32",1.37833650779883e-06,4.13361342703028e-05,0.00168266120543275,1909
"33",1.0726144269727e-06,3.28821475108257e-05,0.00131723719447954,1456
"34",8.20362218260932e-07,2.57852753928746e-05,0.00101792826445129,1556
"35",6.25605301396192e-07,2.04492760654094e-05,0.000787330204530616,2558
"36",4.86639504709105e-07,1.59111040038856e-05,0.000602718128377596,1828
"37",3.70651358084537e-07,1.22240610841674e-05,0.00045778004143601,1567
"38",2.75166642356188e-07,9.23837847712477e-06,0.000345468866030142,2035
"39",2.07400196737903e-07,6.94199530815052e-06,0.000258253427902413,1588
"40",1.5240709796194e-07,5.18495926353224e-06,0.000194134219795433,2212
"41",1.08108521817167e-07,3.84841198093624e-06,0.000146416477225642,1485
"42",7.60361547274669e-08,2.83575836428401e-06,0.000108911283250743,1559
"43",5.3643067884281e-08,2.08019105115102e-06,7.92405798633426e-05,1162
"44",3.80541703465865e-08,1.52171909966211e-06,5.87384667547596e-05,1148
"45",2.679732018919e-08,1.10676367238706e-06,4.26103054419093e-05,1822
"46",1.87231600922071e-08,7.90825559587754e-07,3.09706458578061e-05,1375
"47",1.29784303864597e-08,5.53825373009594e-07,2.23217060098975e-05,1368
"48",8.92525081443153e-09,3.87966807491614e-07,1.59972226199561e-05,1620
"49",6.08939186887716e-09,2.7153982184647e-07,1.13821945341742e-05,1137
"50",4.12209219567108e-09,1.89614293148534e-07,7.93002864777533e-06,1429
"51",2.82260860665357e-09,1.29653820159706e-07,5.57952042378275e-06,1029
"52",1.85066588740286e-09,8.77176432760853e-08,3.89819767164232e-06,978
"53",1.21888600926046e-09,5.99988820670377e-08,2.71229486618269e-06,819
"54",7.9922662006884e-10,4.07007862435039e-08,1.86738210106131e-06,715
"55",5.19997270049727e-10,2.70262223159829e-08,1.27339269457195e-06,1051
"56",3.35674946969909e-10,1.78759388600247e-08,8.66525598754237e-07,801
"57",2.1497801748758e-10,1.19652760485911e-08,5.84910115694994e-07,553
"58",1.36592381736984e-10,7.91577762292622e-09,3.92075487221711e-07,532
"59",8.61025955803321e-11,5.17316695807648e-09,2.61762558700765e-07,343
"60",5.38330773286463e-11,3.36842844024545e-09,1.81867154977312e-07,544
"61",3.33807238822545e-11,2.16988754247593e-09,1.21124862580957e-07,246
"62",2.0100627235213e-11,1.40272060814995e-09,8.00283798611894e-08,199
"63",1.20844817076217e-11,8.8677819305923e-10,5.25198483049436e-08,150
"64",7.34011068621001e-12,5.65842037586036e-10,3.4028568672085e-08,105
"65",4.31515117236394e-12,3.63414237736783e-10,2.20735669661638e-08,164
"66",2.46384906352007e-12,2.27035816367653e-10,1.40291555549267e-08,72
"67",1.43247360030562e-12,1.37808492252567e-10,8.85471470400472e-09,41
"68",8.26944909005523e-13,8.4920617822309e-11,5.48808266718782e-09,51
"69",4.85891265643935e-13,5.04071605887771e-11,3.46109530078945e-09,19
"70",2.83457760207348e-13,3.07405116965803e-11,2.16878895277713e-09,59
"71",1.54552088307314e-13,1.85815521795212e-11,1.35938831016829e-09,22
"72",8.65747253926036e-14,1.10672350927951e-11,8.61437180466254e-10,16
"73",4.74277111059677e-14,6.41058337168747e-12,5.38868998990209e-10,8
"74",2.68849751493205e-14,3.75755878062521e-12,3.28452832877209e-10,9
"75",1.41679045138616e-14,2.19462756301689e-12,1.96257353402301e-10,21
"76",8.02977003962267e-15,1.25189201749213e-12,1.1988181013887e-10,10
"77",4.47741114807501e-15,7.12139210049265e-13,7.31891997774327e-11,5
"78",2.40728958725902e-15,3.98943165168033e-13,4.34212609037294e-11,6
"79",1.27160763018641e-15,2.21367922130864e-13,2.50850929019628e-11,7
"80",7.19966219566772e-16,1.23082099977597e-13,1.4815921732789e-11,2
"81",3.70621896710176e-16,6.92013710836196e-14,8.53081737958758e-12,0
"82",1.85419139190451e-16,3.80902482129335e-14,4.99026134265014e-12,3
"83",9.19782249465778e-17,2.04034797035963e-14,2.98530844114356e-12,0
"84",4.57938361835705e-17,1.11456802230921e-14,1.79622137635279e-12,1
"85",2.33809024151687e-17,5.82217740219223e-15,1.04057100758656e-12,2
"86",1.19597496996079e-17,3.15989842596619e-15,6.11873793277383e-13,0
"87",6.01299196603041e-18,1.675503754586e-15,3.6346195091872e-13,0
"88",3.01930148937087e-18,8.73106416934454e-16,2.08893811857727e-13,1
"89",1.43575397180143e-18,4.53775659306705e-16,1.17967493187693e-13,0
"90",6.95319161739595e-19,2.38810997578859e-16,6.61616639318264e-14,3
