"","2.5%","50%","97.5%","sample_size"
"5",1.07862266014834e-07,3.76425107580233e-06,0.000146237247129075,0
"6",9.95451837068336e-08,3.48702134874258e-06,0.000137757975706791,0
"7",9.18694189096959e-08,3.2557108196663e-06,0.000128867671679706,0
"8",8.4209706783958e-08,3.0246306567664e-06,0.000121020502746141,0
"9",7.71511154990285e-08,2.80916605601867e-06,0.000113788920080248,0
"10",7.06842957298619e-08,2.5971361297469e-06,0.00010690039191549,0
"11",6.47596267232887e-08,2.40981078459455e-06,9.99405366075337e-05,0
"12",5.93316491276301e-08,2.2402512699528e-06,9.34338921447376e-05,0
"13",5.43587159511879e-08,2.07826210796854e-06,8.73306655770137e-05,0
"14",4.98026728006938e-08,1.92625159223469e-06,8.18117261611414e-05,0
"15",4.56285649432246e-08,1.78797142780301e-06,7.64747458942669e-05,0
"16",4.21350983099484e-08,1.65937658149665e-06,7.12148575021342e-05,0
"17",3.90026225476047e-08,1.54026033476597e-06,6.63287266823167e-05,0
"18",3.61183374492659e-08,1.43266506253908e-06,6.18057628913506e-05,0
"19",3.34473547825944e-08,1.3296249624989e-06,5.80725279949129e-05,0
"20",3.09738996294117e-08,1.22410042258127e-06,5.44439533515484e-05,0
"21",2.86833637537371e-08,1.12787329626123e-06,5.08992083469483e-05,0
"22",2.65622193133419e-08,1.04850565605673e-06,4.77520054005905e-05,0
"23",2.45540890894215e-08,9.70086806153599e-07,4.48218590913477e-05,0
"24",2.25455114820872e-08,8.99582510870991e-07,4.20713681383125e-05,0
"25",2.07012572309655e-08,8.30884175024762e-07,3.94896622870156e-05,0
"26",1.90105763419034e-08,7.6448919554098e-07,3.7066383881722e-05,0
"27",1.75244467087338e-08,7.11590886782722e-07,3.47900183819148e-05,0
"28",1.60182691211803e-08,6.61218660967632e-07,3.26462533850876e-05,0
"29",1.47032829838697e-08,6.13219067244374e-07,3.04614373842366e-05,0
"30",1.35005881136159e-08,5.68219469834645e-07,2.83353811426505e-05,0
"31",1.2396281977815e-08,5.26936512151654e-07,2.67475727359042e-05,0
"32",1.14417952184757e-08,4.89877429469419e-07,2.52487603210001e-05,0
"33",1.05666291080878e-08,4.55425155695852e-07,2.37442975681295e-05,0
"34",9.71844620781407e-09,4.2339628976926e-07,2.20544445293477e-05,0
"35",8.89998663056365e-09,3.93620336059821e-07,2.04849145662595e-05,0
"36",8.15045664379985e-09,3.65677315266955e-07,1.90271366913548e-05,0
"37",7.46405098302294e-09,3.38746954343852e-07,1.76731506763422e-05,0
"38",6.83545331292481e-09,3.14414647189078e-07,1.6521837724077e-05,0
"39",6.25979504824021e-09,2.90973271321064e-07,1.55429049102537e-05,0
"40",5.74295383204573e-09,2.69722595188996e-07,1.46623002025674e-05,0
"41",5.27206600966729e-09,2.50960017084156e-07,1.38315967340997e-05,0
"42",4.83978893339699e-09,2.32447097778259e-07,1.3047966176956e-05,0
"43",4.44295662619124e-09,2.1622627698154e-07,1.23087405437874e-05,0
"44",4.07866271800758e-09,2.0041309726751e-07,1.16114030957839e-05,0
"45",3.74423915782944e-09,1.86231731670393e-07,1.09535797663566e-05,0
"46",3.43723667136002e-09,1.73053854111974e-07,1.03330310712497e-05,0
"47",3.15540682123214e-09,1.60808456386263e-07,9.74764447748689e-06,0
"48",2.89668553832155e-09,1.4942955495183e-07,9.19329454830128e-06,0
