"","2.5%","50%","97.5%","sample_size"
"15",2.92740323258449e-05,0.000901091410601851,0.0462767967097976,1
"16",2.61812655341786e-05,0.000803045424294044,0.0412557854757776,3
"17",2.33353026443477e-05,0.000712244783396614,0.0365049674156686,14
"18",2.06839988169029e-05,0.000628873814812315,0.0320512957127518,73
"19",1.82071486052163e-05,0.000549586977447375,0.0279442803227846,95
"20",1.56756013224501e-05,0.000480843000807901,0.0246128352593672,237
"21",1.34080599621073e-05,0.000417104778012999,0.0215369088218152,302
"22",1.14694480994175e-05,0.000358423786475869,0.0187222644658754,479
"23",9.74353880512382e-06,0.000304095862571699,0.0161653354901065,527
"24",8.156211724933e-06,0.000255544698462683,0.0135947620819256,742
"25",6.83296155304522e-06,0.000214836396752378,0.0112481281307333,1038
"26",5.71663741267741e-06,0.000177427323932282,0.00946735202805488,1042
"27",4.7160934878067e-06,0.000146436612239061,0.007971675900143,1055
"28",3.86225601150703e-06,0.000119978065958803,0.00648333156718562,1448
"29",3.13990570334109e-06,9.79797429018234e-05,0.00523588603617425,1201
"30",2.53401423959561e-06,7.90628429070622e-05,0.00431245641254482,2178
"31",2.03010450906069e-06,6.32256722780202e-05,0.00350566492404906,1495
"32",1.61452450890609e-06,5.03323886243618e-05,0.00282722786155786,1909
"33",1.27464073056891e-06,3.95552372244448e-05,0.0022697386690649,1456
"34",9.98959423065418e-07,3.08341982838392e-05,0.00179564752867507,1556
"35",7.77185719448599e-07,2.41092688613297e-05,0.00139052914258849,2558
"36",6.00231366477642e-07,1.87739287313001e-05,0.00106882520344196,1828
"37",4.60181838405708e-07,1.44862813812108e-05,0.000815457943899508,1567
"38",3.46442094866802e-07,1.08428964310306e-05,0.000621649797337463,2035
"39",2.55454501796606e-07,8.13475484718712e-06,0.000471806964171795,1588
"40",1.85748627444901e-07,6.15037918236063e-06,0.000355219390334446,2212
"41",1.33971669880164e-07,4.6006859182238e-06,0.000265509063842153,1485
"42",9.71651377724499e-08,3.35148301806175e-06,0.000197028273261257,1559
"43",6.82253781450756e-08,2.47348072751475e-06,0.000145270034383965,1162
"44",4.84236766145006e-08,1.81166055056927e-06,0.000108435533905475,1148
"45",3.42129086653419e-08,1.31311485448247e-06,7.92439647493629e-05,1822
"46",2.35767296489025e-08,9.35479401981699e-07,5.62914206552353e-05,1375
"47",1.61145588843357e-08,6.66743684186627e-07,3.98857842486347e-05,1368
"48",1.09244961165273e-08,4.71429565214781e-07,2.83741244610357e-05,1620
"49",7.8430321815752e-09,3.34848270455787e-07,2.06947763256144e-05,1137
"50",5.28931942401042e-09,2.34681964036471e-07,1.50716832962737e-05,1429
"51",3.57005474053175e-09,1.6268444163531e-07,1.08608068748632e-05,1029
"52",2.4279041622258e-09,1.10474172025473e-07,7.8536848003103e-06,978
"53",1.6324433092232e-09,7.63358136691351e-08,5.62004892867746e-06,819
"54",1.06633765350609e-09,5.12061887099478e-08,3.92881899518189e-06,715
"55",7.18991446972436e-10,3.38691906802672e-08,2.70245889521613e-06,1051
"56",4.62725459335094e-10,2.24446487564473e-08,1.8055142033255e-06,801
"57",2.95025267534211e-10,1.49157960173537e-08,1.2097388915968e-06,553
"58",1.86380873086546e-10,9.95547738644657e-09,8.05310627718794e-07,532
"59",1.14722936316231e-10,6.64541301018487e-09,5.32916485126019e-07,343
"60",7.00301960239106e-11,4.34063177880953e-09,3.57436196914937e-07,544
"61",4.42623588285581e-11,2.7457132620165e-09,2.39808152404712e-07,246
"62",2.75005976254714e-11,1.77267834656264e-09,1.59674208648516e-07,199
"63",1.67190271519531e-11,1.13500958192765e-09,1.04196634645877e-07,150
"64",1.0215665504865e-11,7.169502257301e-10,6.62245974156795e-08,105
"65",6.07277155716257e-12,4.50121224886824e-10,4.18687273289096e-08,164
"66",3.58878850435289e-12,2.81766995648312e-10,2.72232125499402e-08,72
"67",2.10172585098025e-12,1.75543670957042e-10,1.82500115582833e-08,41
