"","2.5%","50%","97.5%","sample_size"
"5",1.30371196687909e-07,4.43957534664459e-06,0.000260671500356031,0
"6",1.18815580073382e-07,4.09738838380681e-06,0.000242781428088955,0
"7",1.09467133552829e-07,3.81341222868315e-06,0.000226119955745139,0
"8",1.0085457745898e-07,3.52442112523882e-06,0.000210602646829302,0
"9",9.29199526672298e-08,3.25736003454606e-06,0.000196150872735329,0
"10",8.5609867736992e-08,3.01892467581203e-06,0.000181303960623692,0
"11",7.88751386898142e-08,2.80558670270057e-06,0.000168684786580197,0
"12",7.26704572178403e-08,2.6300468961816e-06,0.000158561552779993,0
"13",6.69614557218995e-08,2.4475227230152e-06,0.000147797637352256,0
"14",6.17144190506776e-08,2.27199339661752e-06,0.000137728333523801,0
"15",5.68785411732406e-08,2.11435127405528e-06,0.000128345306623122,0
"16",5.2421603154154e-08,1.97023868953565e-06,0.0001196017672842,0
"17",4.83139108101939e-08,1.83163921400401e-06,0.000111454117126875,0
"18",4.45280968621204e-08,1.6969704231483e-06,0.000103861731077718,0
"19",4.10389385907181e-08,1.57319959010506e-06,9.67867545437223e-05,0
"20",3.78231897821043e-08,1.45943953352013e-06,9.01939144251697e-05,0
"21",3.48594258425235e-08,1.35152164059293e-06,8.44653614293133e-05,0
"22",3.21279010505951e-08,1.25212163418928e-06,7.9457837139e-05,0
"23",2.96104169958612e-08,1.16458375780391e-06,7.47471842632484e-05,0
"24",2.729020132702e-08,1.07496642376293e-06,7.03158027235963e-05,0
"25",2.51517960019235e-08,9.9322980471089e-07,6.61471358677831e-05,0
"26",2.3180954294737e-08,9.17558294920928e-07,6.22256086097689e-05,0
"27",2.13645458740042e-08,8.52217627873654e-07,5.85365692371545e-05,0
"28",1.96904693191448e-08,7.90553060412865e-07,5.50662346685842e-05,0
"29",1.81019572792575e-08,7.34231984492486e-07,5.18016389565907e-05,0
"30",1.65003488916222e-08,6.85127368301324e-07,4.87305848434796e-05,0
"31",1.50405107316288e-08,6.39311486083408e-07,4.58415981892466e-05,0
"32",1.37098887131981e-08,5.95202162373824e-07,4.3123885101262e-05,0
"33",1.26249282679802e-08,5.52938742466172e-07,4.05672916055422e-05,0
"34",1.16562284148914e-08,5.13743006018807e-07,3.81622657089322e-05,0
"35",1.07619025224654e-08,4.76125470387723e-07,3.58998217104489e-05,0
"36",9.93623626637071e-09,4.45331455272183e-07,3.37715066284463e-05,0
"37",9.17395473007425e-09,4.12945098974207e-07,3.17693686181597e-05,0
"38",8.47018858415668e-09,3.81047986735196e-07,2.98859272616342e-05,0
"39",7.82266753742733e-09,3.53148908009004e-07,2.81141456190263e-05,0
"40",7.22472622019439e-09,3.28924386953349e-07,2.64474039368576e-05,0
"41",6.67045027918967e-09,3.06361612294888e-07,2.48794749149878e-05,0
"42",6.13359989487581e-09,2.85168184455975e-07,2.34045004398946e-05,0
"43",5.63995815030891e-09,2.64605863173025e-07,2.20169696973329e-05,0
"44",5.18604723176816e-09,2.46629575604177e-07,2.07116985825927e-05,0
"45",4.76866926211392e-09,2.29767851949443e-07,1.94838103314305e-05,0
"46",4.38488376722509e-09,2.12909144983479e-07,1.83287172993026e-05,0
"47",4.03198695634858e-09,1.96424548669208e-07,1.72421038208243e-05,0
"48",3.70749267033883e-09,1.82576276729248e-07,1.62199100854131e-05,0
