"","2.5%","50%","97.5%","sample_size"
"16",8.30757438359416e-07,2.71246470850849e-05,0.000711908389770767,7463
"17",2.61005390780034e-07,1.24115248374229e-05,0.000502541691379873,6783
"18",7.38339597698088e-08,5.49372050576387e-06,0.000348751116493045,5599
"19",2.001862475158e-08,2.31771335017559e-06,0.000237184167827311,3721
"20",4.92672131081805e-09,9.53418575130204e-07,0.000158269210138079,2647
"21",1.12551313294304e-09,3.81741495289741e-07,0.000100589626057158,1764
"22",2.43188284786179e-10,1.41115016966953e-07,6.65617500139418e-05,1252
"23",5.05186910526888e-11,5.06001050892043e-08,4.19539938178475e-05,889
"24",9.79521732818501e-12,1.70834479438605e-08,2.59045400945912e-05,559
"25",1.77377714429061e-12,5.54825510647144e-09,1.55817807203331e-05,473
"26",2.99990668281121e-13,1.72623787045342e-09,8.5952549533174e-06,332
"27",4.73849973643985e-14,5.27291272002781e-10,4.54737889295265e-06,221
"28",6.99035289192531e-15,1.51085210011098e-10,2.41957668235592e-06,169
"29",9.57262024753683e-16,4.15360828170873e-11,1.35313457151306e-06,105
"30",1.2113225142499e-16,1.07498624892942e-11,7.42377255135837e-07,77
"31",1.41794162687135e-17,2.73763140565103e-12,3.99441601405744e-07,56
"32",1.46343915229255e-18,6.60502752817055e-13,2.10661614957606e-07,29
"33",1.406945496306e-19,1.51407835225725e-13,1.08995728796041e-07,35
"34",1.25999764923082e-20,3.33878476151038e-14,5.53256862147745e-08,15
"35",1.05521837234776e-21,7.04271172316552e-15,2.7551078676338e-08,8
"36",8.65196894313239e-23,1.43321733819475e-15,1.29498531555829e-08,9
"37",6.61839363597217e-24,2.78915291646741e-16,5.90305507658306e-09,8
"38",4.72341591061728e-25,5.18261953941899e-17,2.63625606865337e-09,3
"39",3.14504253324537e-26,8.98211528175791e-18,1.1903334477951e-09,4
"40",1.95372870931093e-27,1.50318591908053e-18,5.41750051434791e-10,0
"41",1.13232195422088e-28,2.42268343386615e-19,2.41914158317996e-10,4
"42",6.12755964506146e-30,3.75418131255743e-20,1.05987740112292e-10,3
"43",3.09435240974856e-31,5.52611143358933e-21,4.55598217541787e-11,1
"44",1.45780831477968e-32,7.91865182775291e-22,1.92150030697337e-11,2
"45",6.40736554402572e-34,1.05358966125526e-22,7.95116886721555e-12,1
"46",2.62728395394109e-35,1.34125335867167e-23,3.2281491536606e-12,0
