"","2.5%","50%","97.5%","sample_size"
"15",5.7706101883084e-05,0.00213411559121458,0.0716987577795183,1
"16",5.12811974140211e-05,0.00190850776698419,0.0639053365732117,3
"17",4.52215183785107e-05,0.00168914667596858,0.0565199711010841,14
"18",3.95876598480618e-05,0.00149652399088555,0.049612309842599,73
"19",3.44004819772561e-05,0.00130320761055437,0.0431947274835532,95
"20",2.97919641211292e-05,0.00112571724554037,0.0373798594020979,237
"21",2.61082902853493e-05,0.000969941471596131,0.0321025112927498,302
"22",2.27136282702439e-05,0.000825200870184799,0.0273644017132335,479
"23",1.9099671289371e-05,0.000698226643507373,0.0231498150783108,527
"24",1.59368869583306e-05,0.000587306666679116,0.0194298347811009,742
"25",1.3192424877576e-05,0.000488963538943584,0.0166345037580205,1038
"26",1.08033415518284e-05,0.000403869193451007,0.0143642403174667,1042
"27",8.73503698149729e-06,0.000332107975816764,0.0122040261322969,1055
"28",7.00590353153796e-06,0.000273483612798454,0.0100410804151008,1448
"29",5.56985564408915e-06,0.000223689645320569,0.00819763059578202,1201
"30",4.38878235556536e-06,0.000179832506050849,0.00664498303544414,2178
"31",3.44180440141167e-06,0.000144194315241874,0.0053471148019069,1495
"32",2.71224367386313e-06,0.000114946407186232,0.00418797723120948,1909
"33",2.12865687500267e-06,8.98800612775258e-05,0.0033804762128501,1456
"34",1.6565308087737e-06,6.92866132332014e-05,0.00264850516752491,1556
"35",1.28090065274429e-06,5.37098282852244e-05,0.00205758414257861,2558
"36",9.71627041700592e-07,4.1364913808463e-05,0.00158681592671888,1828
"37",7.31269508678556e-07,3.16058718301997e-05,0.00121480820802883,1567
"38",5.49951416455885e-07,2.39516196341344e-05,0.00092313432090404,2035
"39",4.16538586032933e-07,1.81341670726437e-05,0.000695879794187375,1588
"40",3.02287233977781e-07,1.3762786912288e-05,0.00052109821400199,2212
"41",2.17364579584393e-07,1.03473267455744e-05,0.000387617927716537,1485
"42",1.60187347510244e-07,7.64583480695781e-06,0.000286025871259612,1559
"43",1.1565276641573e-07,5.64338772253621e-06,0.000209348533649569,1162
"44",8.2835931732161e-08,4.13903434805847e-06,0.000152740762281453,1148
"45",5.88778490145478e-08,2.99110722828008e-06,0.000116166632136939,1822
"46",4.11487601969884e-08,2.15198700565867e-06,8.7630302352871e-05,1375
"47",2.90971005518844e-08,1.5679404261568e-06,6.30020223624462e-05,1368
"48",2.02739026383303e-08,1.11848375769134e-06,4.6105097137583e-05,1620
"49",1.39402697794646e-08,7.83728074370298e-07,3.28974557590203e-05,1137
"50",9.52837786206427e-09,5.4941008339685e-07,2.33271358579295e-05,1429
"51",6.67704623123845e-09,3.81994485778829e-07,1.63711788282307e-05,1029
"52",4.43377202495730e-09,2.60266293286044e-07,1.12647540652464e-05,978
"53",2.94415072088367e-09,1.79942214670482e-07,7.9117836563151e-06,819
"54",1.9303551197776e-09,1.22326286821475e-07,5.54469240421899e-06,715
"55",1.27035893897636e-09,8.2010817164036e-08,3.93971189715778e-06,1051
"56",8.27669670547147e-10,5.47269839161194e-08,2.79133853545247e-06,801
"57",5.33757109702118e-10,3.60611088188208e-08,1.96338791367056e-06,553
"58",3.38825306151779e-10,2.42390120667965e-08,1.37254154216092e-06,532
"59",2.14401603057341e-10,1.57158811520309e-08,9.28632423811729e-07,343
"60",1.33208908658401e-10,1.02074131481735e-08,6.07385322307754e-07,544
"61",8.13207243717479e-11,6.63981894841511e-09,3.94469235597259e-07,246
"62",4.84582817596475e-11,4.27843245485791e-09,2.62349678437065e-07,199
"63",2.86820709396792e-11,2.7107293220701e-09,1.68276460339333e-07,150
"64",1.81977475294726e-11,1.69003590098462e-09,1.1044095233608e-07,105
"65",1.11448634972603e-11,1.04452802202564e-09,7.20012816949838e-08,164
"66",6.68354896009139e-12,6.51221459262838e-10,4.66287357148318e-08,72
"67",3.95686175959855e-12,3.96849840345943e-10,3.02133174825683e-08,41
"68",2.31930529955828e-12,2.40475265684851e-10,1.96982802745495e-08,51
"69",1.33244544898392e-12,1.48194468099795e-10,1.2761680858839e-08,19
"70",7.54158321439138e-13,8.93206313969363e-11,8.21448397572104e-09,59
"71",4.35307157771175e-13,5.29069248434647e-11,5.17412604909444e-09,22
"72",2.46516924701623e-13,3.11818590903977e-11,3.28304832819797e-09,16
"73",1.38338719485994e-13,1.8136464786989e-11,2.01432930395468e-09,8
"74",7.57511446212302e-14,1.0697059464454e-11,1.24454284746375e-09,9
"75",4.06043313893243e-14,6.20790145040469e-12,7.63870642458285e-10,21
"76",2.16188249355359e-14,3.5624303410065e-12,4.66733704859928e-10,10
"77",1.14187788640292e-14,2.02931285904275e-12,2.903913473399e-10,5
"78",6.16667103162018e-15,1.16179694577645e-12,1.79550472155146e-10,6
"79",3.18999350193869e-15,6.58063952255538e-13,1.06047674959787e-10,7
"80",1.636336833382e-15,3.66746472657302e-13,6.39485855092451e-11,2
"81",8.20080325817809e-16,2.05710902699399e-13,3.83176611042812e-11,0
"82",4.11168274363131e-16,1.1700023752094e-13,2.28142099432816e-11,3
"83",2.07168345133501e-16,6.25920645337708e-14,1.34667282893984e-11,0
"84",1.04146178688112e-16,3.34543452795786e-14,7.81323207491314e-12,1
"85",5.12207310893334e-17,1.82997174632925e-14,4.60957412624682e-12,2
