"","2.5%","50%","97.5%","sample_size"
"5",2.15416187175834e-07,1.0236185172774e-05,0.000397458619599781,0
"6",1.99536481813364e-07,9.47169163765035e-06,0.000373959472268432,0
"7",1.84827546545687e-07,8.82984483065127e-06,0.000351849683779513,0
"8",1.7120304958244e-07,8.21844170703509e-06,0.000331047109561761,0
"9",1.5859182600027e-07,7.69346737962101e-06,0.00031147446178989,0
"10",1.46932795935613e-07,7.20203252537339e-06,0.000293059022231198,0
"11",1.36130912005752e-07,6.74199403675532e-06,0.000275732372070075,0
"12",1.26123157198431e-07,6.29604844359525e-06,0.000259430137706629,0
"13",1.16851147593214e-07,5.87911447140098e-06,0.000244091751584936,0
"14",1.08260791722899e-07,5.48412112638229e-06,0.00022966022716229,0
"15",1.00301974980225e-07,5.11235713465174e-06,0.00021608194718336,0
"16",9.14833407089039e-08,4.77992706004243e-06,0.00020330646447261,0
"17",8.41065922987909e-08,4.46476985810442e-06,0.000191286314504825,0
"18",7.80825430051488e-08,4.1502852590121e-06,0.000179976839057376,0
"19",7.2490636090279e-08,3.86649647695571e-06,0.000169336020289,0
"20",6.72998112450935e-08,3.58869670583586e-06,0.00015932432462864,0
"21",6.24812459534929e-08,3.35182129186912e-06,0.000149856672678066,0
"22",5.80215621042854e-08,3.11762199990333e-06,0.000141471379508494,0
"23",5.38942628119339e-08,2.90644487575061e-06,0.000133445675232114,0
"24",4.95005928711836e-08,2.69970550393017e-06,0.000124776899381419,0
"25",4.54551611604809e-08,2.50523534503486e-06,0.000117423295854163,0
"26",4.17405169429557e-08,2.33333498945713e-06,0.000110503281438784,0
"27",3.83296001369037e-08,2.16927849548898e-06,0.000103961077805784,0
"28",3.51975651616281e-08,2.01206598506995e-06,9.77788423589904e-05,0
"29",3.23215996513163e-08,1.87044676095342e-06,9.19646501902373e-05,0
"30",2.96807580137032e-08,1.74284088768022e-06,8.62048054076759e-05,0
"31",2.75547170940824e-08,1.62233879107846e-06,8.00614805473608e-05,0
"32",2.56315405940016e-08,1.51153181957788e-06,7.43562812349275e-05,0
"33",2.34957653937225e-08,1.40230528441905e-06,6.90579421696521e-05,0
"34",2.14292042334378e-08,1.30639841150667e-06,6.41374303387831e-05,0
"35",1.95434547483806e-08,1.21665881292132e-06,5.95677855679144e-05,0
"36",1.78236687696508e-08,1.12712651191847e-06,5.53239724646956e-05,0
"37",1.63048317452392e-08,1.04640874351557e-06,5.13824912684051e-05,0
"38",1.49715483458081e-08,9.71473026642844e-07,4.76979833250229e-05,0
"39",1.37771167720183e-08,9.07618760281024e-07,4.48856925189465e-05,0
"40",1.26139487833069e-08,8.4897536573155e-07,4.23991629653277e-05,0
"41",1.15784275457752e-08,7.94523482264766e-07,4.00509229751265e-05,0
"42",1.06279188371066e-08,7.44485120539061e-07,3.78332404418817e-05,0
"43",9.75544317152504e-09,6.91984577338275e-07,3.51254773327145e-05,0
"44",8.95459409817992e-09,6.44678689666657e-07,3.31466806156631e-05,0
"45",8.21949115147853e-09,6.02175720571482e-07,3.12793616854836e-05,0
"46",7.54561954217174e-09,5.59822549247003e-07,2.95172401973395e-05,0
"47",6.92865781112245e-09,5.19930332958526e-07,2.78543896296928e-05,0
"48",6.39277856724863e-09,4.84963230031934e-07,2.628521735019e-05,0
