"","x","F","L","U"
"1",1,-0.111200356143298,-0.166923191270579,-0.0571917322318032
"2",2,-0.106895589251448,-0.175229823664202,-0.0458297909200816
"3",3,-0.104489769857275,-0.173681460978853,-0.0371382231486345
"4",4,-0.103834529358075,-0.148483979414908,-0.0554127281199363
"5",5,-0.103538460409083,-0.177511954017827,-0.0454183633765395
"6",6,-0.10271119792806,-0.168366081612804,-0.0393666789786104
"7",7,-0.10138223227148,-0.156449996737643,-0.0454671129033981
"8",8,-0.096969430245899,-0.170765510048732,-0.0373116796929616
"9",9,-0.0949417031816142,-0.165809118490796,-0.0330922455266061
"10",10,-0.0947970682860735,-0.154868650535967,-0.0389768659175311
"11",11,-0.0943870803440811,-0.1568099591624,-0.0415921597702916
"12",12,-0.0940340580731142,-0.1738011100977,-0.0233013383236705
"13",13,-0.0910833762576273,-0.146076989055385,-0.0333091363288679
"14",14,-0.089054319992338,-0.155940380893546,-0.0266196929532995
"15",15,-0.0863382510085107,-0.155023446503437,-0.0183314297164176
"16",16,-0.0856005918745376,-0.136643274154957,-0.0305145006140593
"17",17,-0.0852091546720311,-0.13618105728492,-0.0349962822517008
"18",18,-0.0844865379101231,-0.151192482877006,-0.0226731111131389
"19",19,-0.0836500250200758,-0.149822095419385,-0.0233285058770489
"20",20,-0.0816580457949103,-0.14188240664219,-0.0207974044513787
"21",21,-0.0802454177567275,-0.136534519144857,-0.019351826970116
"22",22,-0.0799327501754407,-0.14072657594095,-0.0183147137064813
"23",23,-0.0793088966820656,-0.153322122174724,-0.011967144776094
"24",24,-0.0791346708794728,-0.135008937734958,-0.0234813603132946
"25",25,-0.0787434125634638,-0.14666467471117,-0.0145256984985005
"26",26,-0.0783607744615783,-0.139101845556897,-0.0144801297798726
"27",27,-0.0772996743387688,-0.142041064998527,-0.00610732022477207
"28",28,-0.0769381913851851,-0.145609353415392,-0.0120749063658498
"29",29,-0.0761546255468544,-0.137733913882623,-0.0126747784731018
"30",30,-0.0760653366029941,-0.127901004670834,-0.0228970885644547
"31",31,-0.0758859005813215,-0.137943408425591,-0.0193173436257675
"32",32,-0.0748609921387185,-0.13558023681489,-0.0115975466980188
"33",33,-0.0745715936779321,-0.140583296064168,-0.0073004161318827
"34",34,-0.0744789959193004,-0.144156569264991,-0.0113602305610364
"35",35,-0.0738891025102494,-0.136716434509525,-0.00440195259634518
"36",36,-0.0734796908695007,-0.133070285624786,-0.00453077920388305
"37",37,-0.0729716556688932,-0.146641344985859,0.000203949077666531
"38",38,-0.0726520692007794,-0.129372134470308,-0.00446979993391386
"39",39,-0.0722503487294231,-0.141326700563189,-0.00442881494469223
"40",40,-0.0718882397722291,-0.139566030798852,-0.00913358103188488
"41",41,-0.0714276573969098,-0.139557874371803,-0.00769619576709257
"42",42,-0.0713071731700292,-0.143616524669585,-0.00460214089446506
"43",43,-0.0712952204206794,-0.123075075143549,-0.016663307811073
"44",44,-0.0701503831989198,-0.126468024655442,-0.0193977309306308
"45",45,-0.0697492892642117,-0.133595326767438,-0.0079092446501614
"46",46,-0.0694749684072214,-0.147997810967103,0.00259094840221874
"47",47,-0.0688259425895108,-0.133745431243987,-0.00702716050268841
"48",48,-0.0682385717309037,-0.131333467792605,-0.0102126258781831
"49",49,-0.0672534274332808,-0.130801256099184,0.00403789194639296
"50",50,-0.0671148109791204,-0.122647588617361,-0.00549208883352081
"51",51,-0.0660041816658734,-0.129868979387238,0.00667635103908749
"52",52,-0.0646679030913649,-0.121916067939195,-0.00123222381135527
"53",53,-0.0642298273005846,-0.127395627588885,0.00460562410088179
"54",54,-0.0620680156110319,-0.128257566560313,0.00215944875482967
"55",55,-0.0619551132492488,-0.138688735119082,-0.000394418704261433
"56",56,-0.0607089758844348,-0.114906908710214,-0.00252285640553734
"57",57,-0.0581272601084094,-0.130756819382011,0.0119365605035387
"58",58,-0.0537670532652929,-0.113017572785044,0.0120535579649786
"59",59,-0.0498039430394731,-0.0964671595992732,-0.00452077664696685
"60",60,-0.0497128254837984,-0.106231657038709,0.011623611970687
"61",61,-0.0473875519567385,-0.113352046609827,0.0222064327641974
"62",62,-0.0450255848702024,-0.108231666454647,0.0275074776473785
"63",63,-0.0435197285230906,-0.103654622631957,0.0124778204933679
"64",64,-0.0414220089857251,-0.106836602346081,0.0294858809565072
