"","x","F","L","U"
"1",1,-0.193230594781656,-0.271437388149257,-0.116325724047477
"2",2,-0.186003630657739,-0.279742789891955,-0.104306440065812
"3",3,-0.185926187189592,-0.278069278077735,-0.0994949701398505
"4",4,-0.180331287980327,-0.274439447410988,-0.0919246313290929
"5",5,-0.178654503344401,-0.295272424001755,-0.0809978314928442
"6",6,-0.175087375343546,-0.302821772819656,-0.0657999597533179
"7",7,-0.170191509016984,-0.263073799686141,-0.0782935631508411
"8",8,-0.146605315757227,-0.253403572629971,-0.0615472412232779
"9",9,-0.144064423843183,-0.244788798480165,-0.0593868893314261
"10",10,-0.142850094414325,-0.221411860622952,-0.0663882330414032
"11",11,-0.140217596487858,-0.231480010374717,-0.064869804058044
"12",12,-0.135612521625064,-0.228158263426005,-0.0514736045327547
"13",13,-0.134952413310616,-0.222131306803996,-0.0586272170614456
"14",14,-0.133615414272013,-0.219607753226469,-0.0405552467818271
"15",15,-0.131504812550402,-0.234132918186312,-0.0369923324492938
"16",16,-0.130044080940255,-0.232160369241945,-0.0394113542753568
"17",17,-0.128682889643226,-0.233161602713126,-0.0175359652506286
"18",18,-0.128181819486252,-0.222815674209751,-0.0343718914259012
"19",19,-0.126976609151382,-0.21891055428943,-0.0403770511287722
"20",20,-0.126250724208858,-0.213865254721381,-0.0395528000722133
"21",21,-0.124504106467654,-0.2217246706965,-0.0354514014325061
"22",22,-0.123557155578851,-0.225737977181022,-0.0335534921373751
"23",23,-0.121403221674304,-0.204861249724352,-0.0341419547866577
"24",24,-0.121064598388259,-0.205489664422125,-0.0354842203405502
"25",25,-0.119697954941291,-0.197432480541989,-0.0403494444946899
"26",26,-0.118534626099818,-0.19668277148253,-0.0376147018123495
"27",27,-0.118000272731487,-0.214987407356386,-0.038774564034906
"28",28,-0.117601397387994,-0.214139039269222,-0.0332216125125767
"29",29,-0.117265161425577,-0.19457402479233,-0.0363800696656447
"30",30,-0.116467016244965,-0.214891983223269,-0.0227022663509226
"31",31,-0.115692109206495,-0.194253497685102,-0.0409411031826884
"32",32,-0.115193131408853,-0.196843174566643,-0.0286419034126849
"33",33,-0.114782573217511,-0.206626780081792,-0.0269213171773095
"34",34,-0.113469894214926,-0.202888300417692,-0.0287348025743594
"35",35,-0.112887243477028,-0.19929133302727,-0.0103532216757566
"36",36,-0.111104283845608,-0.20389296323133,-0.0249836698531189
"37",37,-0.10981569346988,-0.198323790856238,-0.020882486494618
"38",38,-0.108530510705533,-0.197656509220156,-0.0258982764428414
"39",39,-0.107245160717736,-0.193017430600557,-0.0202721784089449
"40",40,-0.10702260963904,-0.19924145005238,-0.0141108647666016
"41",41,-0.105500043789909,-0.219118495088624,-0.0116606825639456
"42",42,-0.10246185482571,-0.201744036964653,-0.00260468776698017
"43",43,-0.101678826229095,-0.178863927703494,-0.0180894410980328
"44",44,-0.0944453650947802,-0.179623317830927,-0.00566231239592383
"45",45,-0.0941298603639969,-0.179559233343398,-0.0037706543956624
"46",46,-0.0941011704808532,-0.182894019248567,-0.0079463684013665
"47",47,-0.0923780398095789,-0.18106298497719,-0.00638740112348037
"48",48,-0.0921860679951189,-0.17715822058628,-0.0096706247128486
"49",49,-0.0917953589164976,-0.185242489884013,0.0061740103814569
"50",50,-0.0901320691095016,-0.183849657815347,0.00155411242574652
"51",51,-0.0888041484689346,-0.175503740183609,0.0058647830237451
"52",52,-0.0886419240993386,-0.180912820738332,0.0177484219361654
"53",53,-0.0867114249006016,-0.161980368190978,-0.0131127423375172
"54",54,-0.0836109298759155,-0.166826052713006,0.00389282480785191
"55",55,-0.0834457547741866,-0.179492164645912,0.0181598100121072
"56",56,-0.078904851565651,-0.165419137019459,0.0159135077600712
"57",57,-0.0776684503281963,-0.15127803661192,0.0117049846588465
"58",58,-0.0776592313679341,-0.168470893254243,0.0294722619275811
"59",59,-0.0706982741764408,-0.160702692154572,0.0253359713005198
"60",60,-0.0675711947122312,-0.153877340295064,0.00754971096131528
"61",61,-0.0602294723862329,-0.150349145470276,0.0422431704315906
"62",62,-0.0601185028361643,-0.151573512970194,0.0274326615198047
"63",63,-0.0480966901242428,-0.139912928717578,0.0609676199540556
"64",64,-0.0254328311950862,-0.11803781910156,0.0597911778149532
