"","x","count","F","L","U"
"1",1,804,0.191812531222267,0.186830288485641,0.196556968327963
"2",2,600,0.191841130954931,0.18643226056329,0.198139348123426
"3",3,770,0.191879117568158,0.186232876536147,0.197958701234861
"4",4,726,0.191896541684873,0.186563167184555,0.197047492233704
"5",5,749,0.19203511514611,0.187126661232291,0.196877142689947
"6",6,790,0.192037017996749,0.186479025810642,0.197032211706586
"7",7,765,0.192067252984543,0.186859646171198,0.19738203290417
"8",8,677,0.192077513216251,0.18714730022066,0.198110335734382
"9",9,1675,0.192082565771598,0.186942336492468,0.19710957655104
"10",10,876,0.192120842280667,0.186465970934427,0.197870084927714
"11",11,1094,0.192121753368067,0.186978001364778,0.198478232172401
"12",12,686,0.192127318905119,0.187169695752396,0.198265958197119
"13",13,1963,0.192127985681476,0.186979587472319,0.196950745030736
"14",14,804,0.192166665082627,0.186731837546052,0.198082677281917
"15",15,720,0.1921682070977,0.186660366829852,0.19732531584135
"16",16,816,0.192209659411317,0.187183991213558,0.198354001705074
"17",17,707,0.192216937091423,0.187193160776931,0.196934120390461
"18",18,644,0.192241457416878,0.186286012325671,0.198437107016621
"19",19,642,0.192248634631197,0.187357648999591,0.197990399890405
"20",20,878,0.192249374809519,0.186720690261032,0.197896332142321
"21",21,779,0.192251904763168,0.187574000721251,0.197352034037757
"22",22,588,0.192261209013482,0.187060245860827,0.198036398288387
"23",23,882,0.192270849643099,0.187305368113443,0.197332060219839
"24",24,707,0.192273494799554,0.187219734370355,0.197059031277677
"25",25,861,0.192280630193551,0.187071673674083,0.197164297325169
"26",26,642,0.192312744178732,0.187606458745701,0.196824845552626
"27",27,755,0.192320463118876,0.187249445036244,0.198519367009487
"28",28,629,0.192353176182651,0.186997955466621,0.197809173181457
"29",29,808,0.192371750478541,0.186805707184461,0.197077336569255
"30",30,899,0.19237683819858,0.187289782664405,0.198048854157301
"31",31,695,0.192386201042408,0.18669252436754,0.197244077726227
"32",32,819,0.192394008424163,0.187278599709041,0.197753640882133
"33",33,618,0.192404056176602,0.18665412601754,0.197164998399531
"34",34,817,0.192432109928929,0.18698941257241,0.198449260439931
"35",35,696,0.192440210575077,0.187460514947435,0.197065086825244
"36",36,885,0.192465815480393,0.18730042944175,0.19716019134302
"37",37,874,0.192473513462051,0.187119347949113,0.197567242489487
"38",38,782,0.19248963959382,0.187335295663673,0.197933560525725
"39",39,844,0.192533711169423,0.187136303023563,0.198428607383792
"40",40,769,0.192538417169453,0.187833251803178,0.196844964926852
"41",41,775,0.192549018255431,0.187888145335982,0.198493313681951
"42",42,811,0.192556241819058,0.187421039985409,0.197707951807498
"43",43,756,0.192563162462865,0.187132492421052,0.197513374786069
"44",44,754,0.192573257419561,0.187301044612432,0.19851567871529
"45",45,835,0.192617591508893,0.187837284002742,0.197316151175048
"46",46,657,0.192622590192494,0.18739109384158,0.197687985637312
"47",47,846,0.192679544500464,0.18774138458264,0.197392472457236
"48",48,839,0.192688350999964,0.187163063979353,0.1990858136179
"49",49,816,0.192706910818339,0.187665497277597,0.197783100697107
"50",50,806,0.192727258031905,0.18788216053236,0.198513439090175
"51",51,847,0.192728879173382,0.187829985633377,0.198030986429227
"52",52,740,0.192738252464984,0.187353243372234,0.198418954806691
"53",53,802,0.192753773712637,0.187653217822842,0.197280134310266
"54",54,746,0.192767455277479,0.187196375188745,0.198606880243533
"55",55,646,0.192788734997842,0.188146384779754,0.197474518419779
"56",56,739,0.192946231080384,0.187646945656873,0.198786295035647
"57",57,657,0.192987703782593,0.187839968270445,0.199008621100733
"58",58,856,0.193091517686846,0.188174971776098,0.197682555250884
"59",59,818,0.193107576248006,0.187844254235177,0.197730903998552
"60",60,581,0.193213016390287,0.18842600110487,0.198308580086029
"61",61,831,0.193254326450247,0.187848452378075,0.199201838022463
"62",62,837,0.193282786573443,0.187651167029137,0.198163690789969
"63",63,700,0.193301235274952,0.187828578962023,0.198175574793084
"64",64,901,0.193302127468642,0.188254975487387,0.19766873799881
